stID	tsID	popID	filename	description	citation	URL	total_N	steps	interval_MY	trait_type	log_transformed	taxa	species	microfossil	sampling	age_model	sediment	environment	period_start	period_end	epoch_start	epoch_end	age_start	age_end	source	publication_year	signature	lat	lon	set
64	436	65_a	Madan_et_al_2019_midshaft_transverse_width_A._cunicularia	Asio cunicularia, midshaft transverse width (mm) 	Madan, M., Prothero, D. R., & Syverson, V. J. P. (2019). Stasis in the smaller owls from rancho la brea during the last glacial-interglacial climate change. Palaeontologia Electronica,<ca>22:3	https://doi.org/10.26879/960	91	5	0.029	linear	no	bird	Athene_cunicularia	no	museum specimens	NA	asphalt	terrestrial	Quaternary	Quaternary	Pleistocene	Quarternary	Chibanian	present	table	2019	VBK	34.06379301	-118.3554512	no
64	435	65_b	Madan_et_al_2019_midshaft_transverse_width_A._otus	Asio otus, midshsaft transverse width (mm)	Madan, M., Prothero, D. R., & Syverson, V. J. P. (2019). Stasis in the smaller owls from rancho la brea during the last glacial-interglacial climate change. Palaeontologia Electronica,<ca>22:3	https://doi.org/10.26879/960	168	8	0.029	linear	no	bird	Asio_otus	no	museum specimens	NA	asphalt	terrestrial	Quaternary	Quaternary	Pleistocene	Holocene	unknown	unknown	table	2019	VBK	34.06379301	-118.3554512	no
65	434	64_a	Blaj_et_al.2010_distentus_H	Sphenolithus distentus, proximal cycle height um (H)	Blaj, T., J. Hendricks, J. R. Young, and E. Rehnberg. 2010. The Oligocene nannolith Sphenolithus evolutionary lineage: morphometrical insights from the palaeo-equatorial Pacific Ocean. Journal of Micropalaeontology 29:17-35.	https://doi.org/10.1144/jm.29.1.17	271	10	3.1	linear	no	coccolith	Sphenolithus_distentus	yes	sediment core	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupellian	Chattian	table	2010	unknown	8.889633	-135.366667	yes
65	433	64_a	Blaj_et_al.2010_distentus_W	Sphenolithus distentus, sphenolith basal width, um (W)	Blaj, T., J. Hendricks, J. R. Young, and E. Rehnberg. 2010. The Oligocene nannolith Sphenolithus evolutionary lineage: morphometrical insights from the palaeo-equatorial Pacific Ocean. Journal of Micropalaeontology 29:17-35.	https://doi.org/10.1144/jm.29.1.17	271	10	3.1	linear	no	coccolith	Sphenolithus_distentus	yes	sediment core	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupellian	Chattian	table	2010	unknown	8.889633	-135.366667	yes
65	432	64_a	Blaj_et_al.2010_distentus_WHratio	Sphenolithus distentus, basal width/proximal cycle width ratio (WHratio).	Blaj, T., J. Hendricks, J. R. Young, and E. Rehnberg. 2010. The Oligocene nannolith Sphenolithus evolutionary lineage: morphometrical insights from the palaeo-equatorial Pacific Ocean. Journal of Micropalaeontology 29:17-35.	https://doi.org/10.1144/jm.29.1.17	271	10	3.1	ratio	no	coccolith	Sphenolithus_distentus	yes	sediment core	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupellian	Chattian	table	2010	unknown	8.889633	-135.366667	yes
65	431	64_a	Blaj_et_al.2010_predistentus_H	Sphenolithus predistentus, proximal cycle height, um (H)	Blaj, T., J. Hendricks, J. R. Young, and E. Rehnberg. 2010. The Oligocene nannolith Sphenolithus evolutionary lineage: morphometrical insights from the palaeo-equatorial Pacific Ocean. Journal of Micropalaeontology 29:17-35.	https://doi.org/10.1144/jm.29.1.17	780	11	5.94	linear	no	coccolith	Sphenolithus_distentus	yes	sediment core	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupellian	Chattian	table	2010	unknown	8.889633	-135.366667	yes
65	430	64_a	Blaj_et_al.2010_predistentus_W	Sphenolithus predistentus, sphenolith basal width, um (W)	Blaj, T., J. Hendricks, J. R. Young, and E. Rehnberg. 2010. The Oligocene nannolith Sphenolithus evolutionary lineage: morphometrical insights from the palaeo-equatorial Pacific Ocean. Journal of Micropalaeontology 29:17-35.	https://doi.org/10.1144/jm.29.1.17	780	11	5.94	count	no	coccolith	Sphenolithus_distentus	yes	sediment core	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupellian	Chattian	table	2010	unknown	8.889633	-135.366667	yes
65	429	64_a	Blaj_et_al.2010_predistentus_WHratio	Sphenolithus predistentus, basal width/proximal cycle width ratio (WHratio).	Blaj, T., J. Hendricks, J. R. Young, and E. Rehnberg. 2010. The Oligocene nannolith Sphenolithus evolutionary lineage: morphometrical insights from the palaeo-equatorial Pacific Ocean. Journal of Micropalaeontology 29:17-35.	https://doi.org/10.1144/jm.29.1.17	780	11	5.94	ratio	no	coccolith	Sphenolithus_distentus	yes	sediment core	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupellian	Chattian	table	2010	unknown	8.889633	-135.366667	yes
63	428	63_a	Bendif_et_al_2019_coccolith_diam_cent_open	Coccolith diameter of central opening (um)	Bendif, E.M., Nevado, B., Wong, E.L.Y.<ca>et al., 2019.<ca>Repeated species radiations in the recent evolution of the key marine phytoplankton lineage<ca>Gephyrocapsa.<ca>Nature Communications<ca>10:4234.	https://doi.org/10.1038/s41467-019-12169-7	9472	45	1.83	linear	no	coccolith	Gephyrocapsa_sp	yes	sediment core	NA	unknown	marine	Quaternary	Quaternary	Pleistocene	Holocene	Gelasian	Greenlandian	table_and_graph	2019	VBK	-3.915	60.55167	yes
63	427	63_b	Bendif_et_al_2019_coccolith_size	Coccolith size (um)	Bendif, E.M., Nevado, B., Wong, E.L.Y.<ca>et al., 2019.<ca>Repeated species radiations in the recent evolution of the key marine phytoplankton lineage<ca>Gephyrocapsa.<ca>Nature Communications<ca>10:4234.	https://doi.org/10.1038/s41467-019-12169-7	9472	45	1.83	linear	no	coccolith	Gephyrocapsa_sp 	yes	sediment core	NA	unknown	marine	Quaternary	Quaternary	Pleistocene	Holocene	Gelasian	Greenlandian	table_and_graph	2019	VBK	-3.915	60.55167	yes
62	426	62_a	Brombacher_et_al_2017_Globoconella_AR	Globoconella puncticulata, aspect ratio of shell (AR)	Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.	https://doi.org/10.1086/692570	6575	75	0.47457	ratio	no	foraminifer	Globoconella_puncticulata	yes	sediment core	NA	carbonate	marine	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	raw_data	2017	AR	41.7	-32.5	yes
62	425	62_a	Brombacher_et_al_2017_Globoconella_area	Globoconella_puncticulata, shell area, um^2 (area).	Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.	https://doi.org/10.1086/692570	6575	75	0.47457	area	no	foraminifer	Globoconella_puncticulata	yes	sediment core	NA	carbonate	marine	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	raw_data	2017	AR	41.7	-32.5	yes
62	424	62_b	Brombacher_et_al_2017_Truncorotalia_AR	Truncorotalia crassaformis, aspect ratio of shell (AR)	Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.	https://doi.org/10.1086/692570	6058	75	0.47457	ratio	no	foraminifer	Truncorotalia_crassaformis	yes	sediment core	NA	carbonate	marine	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	raw_data	2017	AR	41.7	-32.5	yes
62	423	62_b	Brombacher_et_al_2017_Truncorotalia_area	Truncorotalia crassaformis, shell area, um^2 (area).	Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.	https://doi.org/10.1086/692570	6058	75	0.47457	area	no	foraminifer	Truncorotalia_crassaformis	yes	sediment core	NA	carbonate	marine	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	raw_data	2017	AR	41.7	-32.5	yes
61	422	61_a	Gingerich_1991_Hyracotherium_granger_LxW_M1	Hyracotherium grangeri, logarithm of crown area of first lower molar (LxW_M1)	Gingerich, P. D. 1991. Systematics and evolution of Early Eocene Perissodactyla (Mammalia) in the Clarks Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 28:181-213.	https://deepblue.lib.umich.edu/handle/2027.42/48544	357	14	0.6186667	area	yes	mammal	Hyracotherium_grangeri	no	geological fieldwork	NA	siliciclastic	terrestrial	Paleogene	Paleogene	Eocene	Eocene	Ypresian	Ypresian	unknown	1991	unknown	44.86600705	-109.0990035	no
60	421	60_a	Bosse_et_al_2017_beak_length	Parus major, beak length, mm	Bosse M, Spurgin LG, Laine VN, Cole EF, Firth JA, Gienapp P, Gosler AG, McMahon K, Poissant J, Verhagen I, Groenen MAM, van Oers K, Sheldon BC, Visser ME, Slate J. 2017. Recent natural selection causes adaptive evolution of an avian polygenic trait. Science, 358(6361):365-368.	https://doi.org/10.1126/science.aal3298	2489	26	2.5e-05	linear	no	bird	Parus_major	no	biological fieldwork	NA	none	terrestrial	Present	Present	Present	Present	Present	Present	raw_data	2017	AR	51.76970038	-1.329567874	yes
60	420	60_a	Bosse_et_al_2017_tarsus_length	Parus major, tarsus length, mm	Bosse M, Spurgin LG, Laine VN, Cole EF, Firth JA, Gienapp P, Gosler AG, McMahon K, Poissant J, Verhagen I, Groenen MAM, van Oers K, Sheldon BC, Visser ME, Slate J. 2017. Recent natural selection causes adaptive evolution of an avian polygenic trait. Science, 358(6361):365-368.	https://doi.org/10.1126/science.aal3298	2487	26	2.5e-05	linear	no	bird	Parus_major	no	biological fieldwork	NA	none	terrestrial	Present	Present	Present	Present	Present	Present	raw_data	2017	AR	51.76970038	-1.329567874	yes
