N;trait_mean;trait_var;age_MY;tsID;age_MY_min;age_MY_max
17;0.0834729688715513;5.96767084824583e-05;0,399;1306;0.374;0.424
33;0.0833169503543023;7.23780750992206e-05;0,451;1306;0.424;0.478
182;0.0798528461571472;6.32001420301785e-05;0,5055;1306;0.478;0.533
134;0.0779284659758761;0.000145152373016039;0,548;1306;0.533;0.563
202;0.0764577196407243;5.36156074469561e-05;0,6485;1306;0.621;0.676
1;0.0756877640957001;0;0,768;1306;0.761;0.775
94;0.0738751485162662;5.18749149705107e-05;0,9265;1306;0.917;0.936
1;0.103145711747908;0;1,109;1306;1.104;1.114
5;0.0729312301712089;4.54046655429819e-05;1,829;1306;1.826;1.832
14;0.0762476084138971;7.36049878171291e-05;1,8505;1306;1.826;1.875
95;0.0740183209427221;5.8127345707655e-05;1,966;1306;1.915;2.017
97;0.0782944450937294;0.000107876781376511;2,1895;1306;2.088;2.291
1;0.0687042595664057;0;2,4645;1306;2.452;2.477
69;8.96369984015793;0.0230983683098599;0;1307;0;0
1;8.88323660824717;0;0,399;1307;0.374;0.424
8;9.05620891980464;0.0133227889026714;0,5055;1307;0.478;0.533
34;8.92450829716681;0.0158775460659142;0,6485;1307;0.621;0.676
32;8.96763432842193;0.0264012688853187;0,9265;1307;0.917;0.936
7;9.13511416848457;0.0281746060399921;1,109;1307;1.104;1.114
3;9.02712500079209;0.0410997245817276;1,729;1307;1.715;1.743
4;9.05786400274198;0.00482417581585309;1,829;1307;1.826;1.832
1;8.86437159832616;0;1,8505;1307;1.826;1.875
6;9.03938314359269;0.0152212980573291;1,966;1307;1.915;2.017
9;8.95989875337999;0.0104447290788777;2,1895;1307;2.088;2.291
1;9.05231324834483;0;2,4645;1307;2.452;2.477
69;0.136600089728264;0.000127670620002391;0;1308;0;0
1;0.135119797769945;0;0,399;1308;0.374;0.424
8;0.136834566966404;7.36919885547785e-05;0,5055;1308;0.478;0.533
34;0.127579821615924;7.53621267778832e-05;0,6485;1308;0.621;0.676
32;0.129507550509562;0.000113474635905816;0,9265;1308;0.917;0.936
7;0.140202586319095;0.000168982911954557;1,109;1308;1.104;1.114
3;0.13155586463379;0.000136176961300994;1,729;1308;1.715;1.743
4;0.132006403428041;2.61543394997633e-05;1,829;1308;1.826;1.832
1;0.122657237957345;0;1,8505;1308;1.826;1.875
6;0.135928463878979;3.53432873589369e-05;1,966;1308;1.915;2.017
9;0.131459559219412;3.93750912393355e-05;2,1895;1308;2.088;2.291
1;0.131347029371523;0;2,4645;1308;2.452;2.477
69;0.0745675972991062;2.80456630178223e-05;0;1309;0;0
1;0.0713565185099425;0;0,399;1309;0.374;0.424
8;0.0806005257701192;1.66661988644016e-05;0,5055;1309;0.478;0.533
34;0.076551188249063;2.49869795495023e-05;0,6485;1309;0.621;0.676
32;0.0791475281431516;4.54678976534979e-05;0,9265;1309;0.917;0.936
7;0.0861067705050892;6.78519821239648e-05;1,109;1309;1.104;1.114
3;0.0820596589091078;5.36872945122311e-05;1,729;1309;1.715;1.743
4;0.0814408013121219;6.08936707131321e-06;1,829;1309;1.826;1.832
1;0.0738498696583229;0;1,8505;1309;1.826;1.875
6;0.0813191034121215;4.56877664615048e-05;1,966;1309;1.915;2.017
9;0.0772323433828975;3.04563386235214e-05;2,1895;1309;2.088;2.291
1;0.0849136896861341;0;2,4645;1309;2.452;2.477
50;10.7419285196303;0.228193542368698;0;1310;0;0
6;10.977345272376;0.0352999800243132;0,5055;1310;0.478;0.533
16;10.8301644684952;0.21779393146352;0,6485;1310;0.621;0.676
15;10.9342228742531;0.242979972903535;0,9265;1310;0.917;0.936
4;10.7972610598188;0.562858405224941;1,109;1310;1.104;1.114
1;9.98304943656171;0;1,729;1310;1.715;1.743
1;10.0580856559656;0;1,829;1310;1.826;1.832
4;10.2500621412032;0.0902757510152202;1,966;1310;1.915;2.017
8;10.7930738464435;0.102181004244643;2,1895;1310;2.088;2.291
