population,generation,fitness,replicate,mutator_ever,complete
Ara + 4,4000,1.32603895,2,No,Yes
Ara + 4,4500,1.704195005,2,No,Yes
Ara + 4,5000,1.483977534,2,No,Yes
Ara + 4,6000,1.229332293,2,No,Yes
Ara + 4,7000,1.543736103,2,No,Yes
Ara + 4,8000,1.380821722,2,No,Yes
Ara + 4,9000,1.613582598,2,No,Yes
Ara + 4,10000,1.590377391,2,No,Yes
Ara + 4,11000,1.533327361,2,No,Yes
Ara + 4,12000,1.406133584,2,No,Yes
Ara + 4,13000,1.410912974,2,No,Yes
Ara + 4,14000,1.535098542,2,No,Yes
Ara + 4,15000,1.740406243,2,No,Yes
Ara + 4,16000,1.556528404,2,No,Yes
Ara + 4,17000,1.521664416,2,No,Yes
Ara + 4,18000,1.691077376,2,No,Yes
Ara + 4,19000,1.83458679,2,No,Yes
Ara + 4,20000,1.549642833,2,No,Yes
Ara + 4,22000,1.632619908,2,No,Yes
Ara + 4,24000,1.440197985,2,No,Yes
Ara + 4,26000,1.44041209,2,No,Yes
Ara + 4,28000,1.761989165,2,No,Yes
Ara + 4,30000,1.841552716,2,No,Yes
Ara + 4,32000,2.021976196,2,No,Yes
Ara + 4,34000,1.635146218,2,No,Yes
Ara + 4,36000,1.815989294,2,No,Yes
Ara + 4,38000,1.830945393,2,No,Yes
Ara + 4,40000,1.910979888,2,No,Yes
Ara + 4,42000,1.637245154,2,No,Yes
Ara + 4,44000,2.004562926,2,No,Yes
Ara + 4,46000,1.426387317,2,No,Yes
Ara + 4,48000,1.656391061,2,No,Yes
Ara + 4,50000,1.620731375,2,No,Yes
Ara + 4,0,0.964306696,2,No,Yes
Ara + 5,0,1.010628515,1,No,Yes
Ara + 5,500,1.126556966,1,No,Yes
Ara + 5,1000,1.284944788,1,No,Yes
Ara + 5,1500,1.42154427,1,No,Yes
Ara + 5,2000,1.314553092,1,No,Yes
Ara + 5,2500,1.281716382,1,No,Yes
Ara + 5,3000,1.394935075,1,No,Yes
Ara + 5,3500,1.387533647,1,No,Yes
Ara + 5,4000,1.40464627,1,No,Yes
Ara + 5,4500,1.325465178,1,No,Yes
Ara + 5,5000,1.450793914,1,No,Yes
Ara + 5,6000,1.408540469,1,No,Yes
Ara + 5,7000,1.461336947,1,No,Yes
Ara + 5,8000,1.482183668,1,No,Yes
Ara + 5,9000,1.461151811,1,No,Yes
Ara + 5,10000,1.61628765,1,No,Yes
Ara + 5,11000,1.39396899,1,No,Yes
Ara + 5,12000,1.6023181,1,No,Yes
Ara + 5,13000,1.570016818,1,No,Yes
Ara + 5,14000,1.504730156,1,No,Yes
Ara + 5,15000,1.656458531,1,No,Yes
Ara + 5,16000,1.576591489,1,No,Yes
Ara + 5,17000,1.491607342,1,No,Yes
Ara + 5,18000,1.513676092,1,No,Yes
Ara + 5,19000,1.59095395,1,No,Yes
Ara + 5,20000,1.423037473,1,No,Yes
Ara + 5,22000,1.762665061,1,No,Yes
Ara + 5,24000,1.541282378,1,No,Yes
Ara + 5,26000,1.691229908,1,No,Yes
Ara + 5,28000,1.581706409,1,No,Yes
Ara + 5,30000,1.647077679,1,No,Yes
Ara + 5,32000,1.600757926,1,No,Yes
Ara + 5,34000,1.759620676,1,No,Yes
Ara + 5,36000,1.744573009,1,No,Yes
Ara + 5,38000,1.746965756,1,No,Yes
Ara + 5,40000,1.502844241,1,No,Yes
Ara + 5,42000,1.419466728,1,No,Yes
Ara + 5,44000,1.685885401,1,No,Yes
Ara + 5,46000,1.499109444,1,No,Yes
Ara + 5,48000,1.966734842,1,No,Yes
Ara + 5,50000,1.68653649,1,No,Yes
Ara + 5,0,1.004323671,1,No,Yes
Ara + 5,0,0.997509555,2,No,Yes
Ara + 5,500,1.120052556,2,No,Yes
Ara + 5,1000,1.165207088,2,No,Yes
Ara + 5,1500,1.190604773,2,No,Yes
Ara + 5,2000,1.311594039,2,No,Yes
Ara + 5,2500,1.547419605,2,No,Yes
Ara + 5,3000,1.488148104,2,No,Yes
Ara + 5,3500,1.418536725,2,No,Yes
Ara + 5,4000,1.431431625,2,No,Yes
Ara + 5,4500,1.346993454,2,No,Yes
Ara + 5,5000,1.487472345,2,No,Yes
Ara + 5,6000,1.612216159,2,No,Yes
Ara + 5,7000,1.325398485,2,No,Yes
Ara + 5,8000,1.691095093,2,No,Yes
Ara + 5,9000,1.442350767,2,No,Yes
Ara + 5,10000,1.415869732,2,No,Yes
Ara + 5,11000,1.558583849,2,No,Yes
Ara + 5,12000,1.417933967,2,No,Yes
Ara + 5,13000,1.506873279,2,No,Yes
Ara + 5,14000,1.695345992,2,No,Yes
Ara + 5,15000,1.53257656,2,No,Yes
Ara + 5,16000,1.499201552,2,No,Yes
Ara + 5,17000,1.808246516,2,No,Yes
Ara + 5,18000,1.541780871,2,No,Yes
Ara + 5,19000,1.549458681,2,No,Yes
Ara + 5,20000,1.533049658,2,No,Yes
Ara + 5,22000,1.647809248,2,No,Yes
Ara + 5,24000,1.823763756,2,No,Yes
Ara + 5,26000,1.972772454,2,No,Yes
Ara + 5,28000,1.604979829,2,No,Yes
Ara + 5,30000,1.659272929,2,No,Yes
Ara + 5,34000,1.836046109,2,No,Yes
Ara + 5,36000,1.432760521,2,No,Yes
Ara + 5,38000,1.635104219,2,No,Yes
Ara + 5,40000,1.694134639,2,No,Yes
Ara + 5,42000,1.859747766,2,No,Yes
Ara + 5,44000,1.389438988,2,No,Yes
Ara + 5,46000,1.451779678,2,No,Yes
Ara + 5,48000,1.560016556,2,No,Yes
Ara + 5,50000,1.62875463,2,No,Yes
Ara + 5,0,0.959256001,2,No,Yes
Ara + 6,0,1.000325485,1,Yes,No
Ara + 6,500,1.214813572,1,Yes,No
Ara + 6,1000,1.124937013,1,Yes,No
Ara + 6,1500,1.268719002,1,Yes,No
Ara + 6,2000,1.146848565,1,Yes,No
Ara + 6,2500,1.446485673,1,Yes,No
Ara + 6,3000,1.429570254,1,Yes,No
Ara + 6,3500,1.272107229,1,Yes,No
Ara + 6,4000,1.496216604,1,Yes,No
Ara + 6,0,0.97825842,2,Yes,No
Ara + 6,500,1.142520695,2,Yes,No
Ara + 6,1000,1.175692384,2,Yes,No
Ara + 6,1500,1.171991001,2,Yes,No
Ara + 6,2000,1.309621667,2,Yes,No
Ara + 6,2500,1.321058187,2,Yes,No
Ara + 6,3000,1.178213143,2,Yes,No
Ara + 6,3500,1.377367849,2,Yes,No
Ara + 6,4000,1.292656789,2,Yes,No
Ara + 6,0,0.87541616,3,Yes,No
Ara + 6,500,1.143438395,3,Yes,No
Ara + 6,1000,1.180977691,3,Yes,No
Ara + 6,1500,1.208332462,3,Yes,No
Ara + 6,2000,1.255968154,3,Yes,No
Ara + 6,2500,1.235188316,3,Yes,No
Ara + 6,3000,1.132718313,3,Yes,No
Ara + 6,3500,1.215347078,3,Yes,No
Ara + 6,4000,1.321233738,3,Yes,No
Ara + 6,0,0.990788954,4,Yes,No
Ara + 6,500,1.154147258,4,Yes,No
Ara + 6,1000,1.197968487,4,Yes,No
Ara + 6,1500,1.129612373,4,Yes,No
Ara + 6,2000,1.165348647,4,Yes,No
Ara + 6,2500,1.300349516,4,Yes,No
Ara + 6,3000,1.288319166,4,Yes,No
Ara + 6,3500,1.293605987,4,Yes,No
Ara + 6,4000,1.322128058,4,Yes,No
