order,family,genus,species,binomial,adult_body_mass_g,adult_head_body_len_mm,gestation_days,litter_size,litters_per_year,max_longevity_months,weaning_age_days,neonate_body_mass_g,sexual_maturity_age_days,diet_breadth,habitat_breadth,trophic_level,home_range_km2,pop_density_per_km2,geog_range_km2
Artiodactyla,Camelidae,Camelus,dromedarius,Camelus dromedarius,492714.47,,386.51,0.98,1.0,480.0,389.38,36751.19,1947.94,3,1,1,196.32,0.98,
Carnivora,Canidae,Canis,adustus,Canis adustus,10392.49,745.32,65.0,4.5,,137.0,52.89,,249.88,6,1,2,1.01,0.74,10581413.14
Carnivora,Canidae,Canis,aureus,Canis aureus,9658.7,827.53,61.24,3.74,,192.0,61.3,211.82,371.23,6,1,2,2.95,0.22,25739527.43
Carnivora,Canidae,Canis,latrans,Canis latrans,11989.1,872.39,61.74,5.72,,262.0,43.71,200.01,372.9,1,1,3,18.88,0.25,17099094.3
Carnivora,Canidae,Canis,lupus,Canis lupus,31756.51,1055.0,63.5,4.98,2.0,354.0,44.82,412.31,679.37,1,1,3,159.86,0.01,50803439.7
Artiodactyla,Bovidae,Bos,frontalis,Bos frontalis,800143.05,2700.0,273.75,1.22,1.0,314.4,186.67,22977.05,610.97,3,,1,,0.54,2294331.63
Artiodactyla,Bovidae,Bos,grunniens,Bos grunniens,500000.0,,273.75,1.0,1.0,267.0,243.33,,755.15,2,,1,,,1523540.07
Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,635974.34,2075.0,296.78,1.22,1.0,318.96,287.74,,797.31,2,1,1,,0.75,1687920.66
Primates,Pitheciidae,Callicebus,cupreus,Callicebus cupreus,1117.02,354.99,129.25,1.01,,,201.85,73.6,,,1,,,4.89,690923.14
Primates,Pitheciidae,Callicebus,donacophilus,Callicebus donacophilus,897.67,,,1.02,,,,,,,1,,,,288759.02
Primates,Pitheciidae,Callicebus,dubius,Callicebus dubius,992.4,,,1.02,,,,,,,1,,,,
Primates,Pitheciidae,Callicebus,hoffmannsi,Callicebus hoffmannsi,1067.61,,,1.02,,,,,,,1,,,,98076.46
Primates,Pitheciidae,Callicebus,modestus,Callicebus modestus,992.4,,,1.02,,,,,,,1,,,,17288.42
Didelphimorphia,Didelphidae,Caluromys,derbianus,Caluromys derbianus,326.72,231.0,,3.14,,60.0,,,251.71,3,1,2,,11.86,678553.48
Didelphimorphia,Didelphidae,Caluromys,lanatus,Caluromys lanatus,350.33,273.3,,,,60.0,,,,4,2,2,,,3683731.12
Didelphimorphia,Didelphidae,Caluromys,philander,Caluromys philander,246.47,224.27,23.99,4.18,2.0,76.0,119.65,0.2,314.52,4,2,2,0.009960363,62.32,3212264.13
Didelphimorphia,Didelphidae,Caluromysiops,irrupta,Caluromysiops irrupta,257.48,234.52,,2.0,,94.0,,,,3,1,2,,8.85,188864.44
Cingulata,Dasypodidae,Calyptophractus,retusus,Calyptophractus retusus,129.99,157.5,,,,144.0,,,,4,2,2,,,1081453.8
Artiodactyla,Camelidae,Camelus,bactrianus,Camelus bactrianus,554515.91,,397.99,1.39,1.0,480.0,368.13,34346.64,1330.6,2,1,1,,0.06,188693.0
Artiodactyla,Bovidae,Bos,sauveli,Bos sauveli,791321.76,2175.0,,,,,,,755.15,2,1,1,,,115557.18
Artiodactyla,Bovidae,Bos,taurus,Bos taurus,618642.42,,280.48,,1.0,240.0,,,755.15,,,,10.04,,44447.62
Artiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,182253.04,2000.0,248.49,1.39,,260.4,,5875.0,,5,,1,,2.39,2192564.81
Carnivora,Canidae,Canis,mesomelas,Canis mesomelas,8247.3,707.27,62.5,3.89,,168.0,34.1,177.2,241.4,6,1,2,11.93,0.74,6248779.95
Carnivora,Canidae,Canis,simensis,Canis simensis,14361.86,938.19,63.61,,,,69.6,,754.74,1,1,3,4.2,1.2,11402.81
Rodentia,Spalacidae,Cannomys,badius,Cannomys badius,472.07,,41.49,2.0,,48.0,50.1,,,,,,,,818286.0
Cetacea,Neobalaenidae,Caperea,marginata,Caperea marginata,31999999.98,,,0.98,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,caucasica,Capra caucasica,58149.52,,155.0,1.09,,264.0,,,1015.0,,,,,,32781.87
Artiodactyla,Bovidae,Capra,falconeri,Capra falconeri,54303.37,1590.0,167.98,1.73,,168.0,167.29,,1015.0,2,1,1,,,155075.85
Artiodactyla,Bovidae,Capra,hircus,Capra hircus,47386.47,,156.0,1.45,,249.6,158.04,2136.11,498.97,2,,1,98.3,7.58,
Artiodactyla,Bovidae,Capra,ibex,Capra ibex,69546.83,,167.5,1.11,,267.6,111.75,2779.07,838.54,2,1,1,,,145098.13
Erinaceomorpha,Erinaceidae,Atelerix,algirus,Atelerix algirus,903.98,214.76,39.25,2.5,2.0,84.0,39.7,,,3,,2,,,815329.89
Erinaceomorpha,Erinaceidae,Atelerix,frontalis,Atelerix frontalis,329.12,181.82,37.13,4.99,1.5,,34.8,10.55,411.43,6,1,2,,,1497998.13
Primates,Atelidae,Ateles,belzebuth,Ateles belzebuth,6692.42,459.3,138.2,1.02,,336.0,,,,2,1,1,2.28,13.49,1030364.23
Primates,Atelidae,Ateles,chamek,Ateles chamek,7053.92,454.28,,,,,,,,2,1,1,1.16,3.39,990902.31
Primates,Atelidae,Ateles,fusciceps,Ateles fusciceps,9067.94,489.15,224.7,1.01,,288.0,482.7,499.99,1799.68,2,1,1,,,201579.73
Primates,Atelidae,Ateles,geoffroyi,Ateles geoffroyi,7582.4,433.07,226.37,1.01,,327.6,816.35,425.85,2104.57,2,1,1,0.73,19.06,806609.19
Primates,Atelidae,Ateles,marginatus,Ateles marginatus,6229.28,460.27,,,,,,,,2,1,1,,,831855.4
Primates,Atelidae,Ateles,paniscus,Ateles paniscus,8697.25,575.96,228.18,1.0,,453.6,805.41,478.64,2104.57,6,1,2,1.36,8.0,892635.1
Primates,Pitheciidae,Callicebus,moloch,Callicebus moloch,958.13,358.65,164.0,1.01,,303.6,58.85,74.4,1262.74,3,1,2,0.02,18.43,911442.78
Primates,Pitheciidae,Callicebus,oenanthe,Callicebus oenanthe,992.4,,,1.02,,,,,,,1,,,,5807.21
Primates,Pitheciidae,Callicebus,olallae,Callicebus olallae,992.4,,,1.02,,,,,,,1,,,,17288.42
Primates,Pitheciidae,Callicebus,personatus,Callicebus personatus,1390.8,362.49,,1.01,,,,,,4,1,1,0.03,13.03,172664.46
Primates,Pitheciidae,Callicebus,torquatus,Callicebus torquatus,1209.57,294.99,,1.01,,,121.66,,1683.65,4,1,2,0.11,10.2,
Primates,Cebidae,Callimico,goeldii,Callimico goeldii,558.0,280.0,153.99,1.05,,214.8,66.53,50.5,413.84,2,1,2,0.32,2.08,462922.05
Rodentia,Echimyidae,Callistomys,pictus,Callistomys pictus,518.99,,,,,,,,,,,,,,37773.91
Primates,Cebidae,Callithrix,argentata,Callithrix argentata,382.92,,,1.84,,201.6,,35.8,701.52,4,1,2,,7.52,123514.0
Primates,Cebidae,Callithrix,aurita,Callithrix aurita,386.2,239.99,140.0,2.0,,,,,,3,1,2,0.08,,87653.49
Primates,Cebidae,Callithrix,emiliae,Callithrix emiliae,309.58,,,,,,,,,,,,,,160568.97
Primates,Cebidae,Callithrix,flaviceps,Callithrix flaviceps,372.97,239.99,140.0,2.0,,,,,,3,1,2,0.22,11.85,27330.89
Primates,Cebidae,Callithrix,geoffroyi,Callithrix geoffroyi,342.0,,,,,,,,,,1,,,,132745.3
Primates,Cebidae,Callithrix,humeralifera,Callithrix humeralifera,374.99,,,,,180.0,99.01,34.5,,4,1,2,0.1,28.32,129628.0
Primates,Cebidae,Callithrix,jacchus,Callithrix jacchus,290.21,,144.0,2.31,,201.6,60.24,27.74,455.99,5,1,2,0.02,508.18,604264.4
Primates,Cebidae,Callithrix,kuhlii,Callithrix kuhlii,374.99,,,,,,,,,4,1,2,0.06,59.0,34583.88
Primates,Cebidae,Callithrix,mauesi,Callithrix mauesi,443.79,,,,,,,,,4,1,2,,,2038.88
Primates,Cebidae,Callithrix,nigriceps,Callithrix nigriceps,401.12,,,2.0,,,,,,4,1,2,,,24958.88
Primates,Cebidae,Callithrix,penicillata,Callithrix penicillata,339.98,,,2.0,,,,,,,1,,0.01,,1325473.3
Primates,Cebidae,Callithrix,pygmaea,Callithrix pygmaea,123.94,154.6,134.44,1.93,,181.2,90.73,14.5,708.5,3,1,2,0.002117904,15.9,1508925.87
Carnivora,Otariidae,Callorhinus,ursinus,Callorhinus ursinus,55464.82,1734.82,358.49,1.04,0.5,420.0,108.69,5354.8,1683.65,6,2,2,,18.0,
Rodentia,Sciuridae,Callosciurus,adamsi,Callosciurus adamsi,208.72,203.5,,1.94,,,,,,6,1,2,,,30384.46
Rodentia,Sciuridae,Callosciurus,baluensis,Callosciurus baluensis,323.91,203.5,,3.0,,,,,,6,1,2,,,20853.19
Rodentia,Sciuridae,Callosciurus,caniceps,Callosciurus caniceps,264.91,211.08,,2.19,,114.0,,,,,1,,0.01,18.6,420861.69
Rodentia,Sciuridae,Callosciurus,erythraeus,Callosciurus erythraeus,283.23,211.93,,1.94,2.0,193.2,,,,3,1,1,0.008950755,622.69,2354368.13
Rodentia,Sciuridae,Callosciurus,melanogaster,Callosciurus melanogaster,296.0,213.0,,,,,,,,4,2,2,,,5140.87
Rodentia,Sciuridae,Callosciurus,nigrovittatus,Callosciurus nigrovittatus,208.3,203.5,,2.36,,,,,,6,1,2,0.01,5.75,1450546.42
Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus notatus,209.49,203.5,,2.62,,115.2,,,413.84,6,1,2,0.02,98.32,1474469.76
Rodentia,Sciuridae,Callosciurus,orestes,Callosciurus orestes,323.91,203.5,,3.0,,,,,,6,1,2,,,35107.14
Rodentia,Sciuridae,Callosciurus,prevostii,Callosciurus prevostii,400.0,247.0,46.08,1.29,,68.0,,16.34,,6,1,2,,,1315342.19
Rodentia,Cricetidae,Calomys,boliviae,Calomys boliviae,27.0,,,,,,,,,,,,,,108148.2
Rodentia,Cricetidae,Calomys,callidus,Calomys callidus,27.0,,,,,,,,13.57,,,,,,
Rodentia,Cricetidae,Calomys,callosus,Calomys callosus,44.95,,21.8,4.91,3.0,,18.33,2.4,43.18,,2,,,354.3,
Rodentia,Cricetidae,Calomys,expulsus,Calomys expulsus,39.86,,,,,,,,,,,,,1195.79,
Rodentia,Cricetidae,Calomys,hummelincki,Calomys hummelincki,27.0,,,,,,,,,,1,,,,333859.81
Rodentia,Cricetidae,Calomys,laucha,Calomys laucha,14.0,,25.0,5.3,,,,,,3,2,2,,,1239274.0
Rodentia,Cricetidae,Calomys,lepidus,Calomys lepidus,20.59,,,4.29,,,,2.0,,,1,,,,593465.1
Rodentia,Cricetidae,Calomys,musculinus,Calomys musculinus,20.2,,20.97,6.27,,,,,76.03,3,1,2,,253.33,869814.79
Rodentia,Cricetidae,Calomys,sorellus,Calomys sorellus,20.0,,,,,,,,,,,,,,205439.89
Rodentia,Cricetidae,Calomys,tener,Calomys tener,13.8,69.2,,,,,,,,,,,,,915351.64
Rodentia,Cricetidae,Calomys,venustus,Calomys venustus,49.33,,,,,,,,,,,,,,
Rodentia,Calomyscidae,Calomyscus,bailwardi,Calomyscus bailwardi,21.38,,,4.0,1.0,,,,,,,,,354.3,102086.07
Diprotodontia,Potoroidae,Caloprymnus,campestris,Caloprymnus campestris,927.57,,,1.0,,156.0,,,,,,,,,
Carnivora,Canidae,Atelocynus,microtis,Atelocynus microtis,8363.22,831.01,,,,132.0,,,,1,1,3,,,7634256.6
Rodentia,Hystricidae,Atherurus,africanus,Atherurus africanus,2875.65,430.99,108.18,1.5,2.75,274.8,45.37,146.27,,5,2,2,0.12,,5140711.56
Rodentia,Hystricidae,Atherurus,macrourus,Atherurus macrourus,2000.0,,,1.5,,,,,,5,2,2,,,2597040.51
Carnivora,Herpestidae,Atilax,paludinosus,Atilax paludinosus,3600.16,499.01,77.27,2.0,2.0,209.0,35.89,100.0,234.83,6,2,2,1.73,,14296320.45
Rodentia,Sciuridae,Atlantoxerus,getulus,Atlantoxerus getulus,250.57,189.1,,,,108.0,,,,,,,,,179364.26
Rodentia,Cricetidae,Auliscomys,boliviensis,Auliscomys boliviensis,70.91,,,3.4,,,,,,,1,,,,207032.77
Rodentia,Cricetidae,Auliscomys,pictus,Auliscomys pictus,48.97,,,,,,,,,,,,,232.95,309321.99
Rodentia,Cricetidae,Auliscomys,sublimis,Auliscomys sublimis,38.0,,,,,,,,,,1,,,,497531.43
Primates,Indriidae,Avahi,laniger,Avahi laniger,1092.28,275.0,136.15,1.01,1.0,,149.15,,,3,2,1,0.01,84.85,85075.49
Primates,Indriidae,Avahi,occidentalis,Avahi occidentalis,828.98,,,1.02,,,,,,1,1,1,0.01,66.99,7563.78
Artiodactyla,Cervidae,Axis,axis,Axis axis,69499.99,,227.49,1.01,,249.6,121.66,3156.86,543.68,,,,0.67,6.69,2041090.04
Artiodactyla,Cervidae,Axis,calamianensis,Axis calamianensis,39812.6,1387.44,224.0,2.0,,,,,,,,,,,1345.4
Artiodactyla,Cervidae,Axis,kuhlii,Axis kuhlii,54999.99,1375.0,227.49,1.22,1.3,,,,,2,,1,,4.44,197.86
Artiodactyla,Cervidae,Axis,porcinus,Axis porcinus,37448.29,,220.13,1.0,,240.0,,2483.33,464.04,3,,1,0.52,16.5,2017514.05
Artiodactyla,Suidae,Babyrousa,babyrussa,Babyrousa babyrussa,92950.09,950.0,156.5,1.73,1.5,288.0,212.91,715.0,362.5,6,1,2,,,13309.7
Cetacea,Balaenopteridae,Balaenoptera,musculus,Balaenoptera musculus,154321304.5,30480.0,326.97,1.0,0.45,1320.0,211.71,2738612.79,1959.8,1,1,3,,,
Cetacea,Balaenopteridae,Balaenoptera,physalus,Balaenoptera physalus,47506008.23,20641.06,338.36,1.01,0.37,1392.0,196.58,1899999.99,2666.41,2,1,3,,,
Chiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,3.97,40.2,,1.0,,,,0.59,,,1,,,,211758.21
Chiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,6.57,,138.81,0.99,1.0,,58.59,2.0,,1,1,3,,,841946.43
Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,14.43,,,1.0,,,,,,1,1,1,,,870187.37
Rodentia,Muridae,Bandicota,bengalensis,Bandicota bengalensis,226.99,,18.89,7.29,5.9,,30.03,4.85,63.52,,,,,,3698085.54
Rodentia,Muridae,Bandicota,indica,Bandicota indica,583.09,,20.26,6.12,,,27.3,9.77,145.81,,,,,,6308602.34
Artiodactyla,Bovidae,Cephalophus,niger,Cephalophus niger,19094.32,1041.8,126.0,1.0,,122.04,89.49,1940.0,,7,1,2,,1.14,726891.4
Artiodactyla,Bovidae,Cephalophus,nigrifrons,Cephalophus nigrifrons,14676.33,944.21,,,,236.4,,,,4,1,1,,2.0,2766201.07
Artiodactyla,Bovidae,Cephalophus,ogilbyi,Cephalophus ogilbyi,18386.42,1000.0,121.66,1.0,,,,,,,,,0.07,,231511.16
Artiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus rufilatus,12114.57,650.0,233.99,1.0,,114.0,85.59,975.1,,5,1,2,,3.18,3098970.49
Artiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus silvicultor,62006.6,1324.76,234.43,1.0,,207.96,34.9,4400.72,,5,1,2,,0.5,6018051.89
Artiodactyla,Bovidae,Cephalophus,spadix,Cephalophus spadix,56857.02,1174.48,,,,65.04,,,,3,1,1,,,36583.37
Artiodactyla,Bovidae,Cephalophus,zebra,Cephalophus zebra,15654.75,874.99,223.89,1.0,,146.04,13.64,1704.99,,3,1,2,,,171546.51
Cetacea,Delphinidae,Cephalorhynchus,commersonii,Cephalorhynchus commersonii,72400.0,,,0.98,,216.0,,5834.74,2207.29,1,1,3,,,
Cetacea,Delphinidae,Cephalorhynchus,eutropia,Cephalorhynchus eutropia,45000.0,,,0.97,,,,,,1,1,3,,,
Cetacea,Delphinidae,Cephalorhynchus,heavisidii,Cephalorhynchus heavisidii,39999.99,,,0.97,,,,9174.84,,,1,,,,
Cetacea,Delphinidae,Cephalorhynchus,hectori,Cephalorhynchus hectori,49999.99,,,1.0,0.42,240.0,355.65,,2768.53,1,1,3,,,
Perissodactyla,Rhinocerotidae,Ceratotherium,simum,Ceratotherium simum,2285939.43,2586.81,534.19,1.0,,600.0,365.0,48500.0,2741.23,1,1,1,19.09,0.47,3184467.13
Diprotodontia,Burramyidae,Cercartetus,caudatus,Cercartetus caudatus,23.05,97.97,,2.37,2.0,38.4,76.04,,464.04,3,3,2,,49.99,221311.97
Diprotodontia,Burramyidae,Cercartetus,concinnus,Cercartetus concinnus,15.96,,52.14,4.6,1.0,,49.99,0.01,,,2,,,,611282.88
Diprotodontia,Burramyidae,Cercartetus,lepidus,Cercartetus lepidus,8.03,,,3.33,,,89.99,,,2,2,2,,,93697.61
Diprotodontia,Burramyidae,Cercartetus,nanus,Cercartetus nanus,26.85,,,3.96,2.0,96.0,62.5,0.01,193.8,4,2,2,0.005564565,788.66,378748.79
Primates,Cercopithecidae,Cercocebus,agilis,Cercocebus agilis,7105.62,,,,,,,,,,,,,,1068616.42
Primates,Cercopithecidae,Cercocebus,atys,Cercocebus atys,6941.24,,165.08,1.01,,321.6,,527.17,1321.67,,,,,8.85,440620.58
Primates,Cercopithecidae,Cercocebus,galeritus,Cercocebus galeritus,7077.66,510.0,174.43,1.01,,252.0,,,2735.94,2,2,1,0.51,70.11,20246.09
Primates,Cercopithecidae,Cercocebus,torquatus,Cercocebus torquatus,7293.07,660.0,168.98,1.01,,360.0,,,1318.86,1,,1,,40.15,362869.59
Primates,Cercopithecidae,Cercopithecus,ascanius,Cercopithecus ascanius,3540.24,444.99,148.5,1.01,,339.6,146.54,371.0,1718.73,4,,2,0.16,105.79,3012180.23
Primates,Cercopithecidae,Cercopithecus,campbelli,Cercopithecus campbelli,3627.73,455.0,180.8,1.02,,396.0,362.93,,,3,,1,0.01,,262404.57
Primates,Cercopithecidae,Cercopithecus,cephus,Cercopithecus cephus,3444.88,520.0,169.51,1.01,,276.0,362.93,337.19,1521.9,3,1,2,0.24,21.04,898367.43
Primates,Cercopithecidae,Cercopithecus,diana,Cercopithecus diana,4358.91,470.0,,1.01,,447.6,362.93,466.9,2279.95,3,,2,1.25,16.47,177249.87
Primates,Cercopithecidae,Cercopithecus,dryas,Cercopithecus dryas,2784.06,,,1.02,,,,,,,,,,,151925.19
Primates,Cercopithecidae,Cercopithecus,erythrogaster,Cercopithecus erythrogaster,3444.88,457.49,,1.02,,,,,,2,1,2,,,102343.83
Primates,Cercopithecidae,Cercopithecus,erythrotis,Cercopithecus erythrotis,3254.98,435.0,,1.02,,,,,,2,1,2,,,87403.19
Primates,Cercopithecidae,Cercopithecus,lhoesti,Cercopithecus lhoesti,5307.47,510.0,,1.0,,192.0,,,,3,,2,,4.99,451166.22
Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus mitis,5041.29,575.0,138.39,1.0,,325.2,688.08,402.0,2049.25,4,,2,0.1,70.39,2341818.13
Primates,Cercopithecidae,Cercopithecus,mona,Cercopithecus mona,3980.17,510.0,,1.0,,360.0,,280.49,,,,,,,652362.31
Primates,Cercopithecidae,Cercopithecus,neglectus,Cercopithecus neglectus,5324.52,510.0,172.07,1.02,,315.6,417.62,259.95,2076.39,3,2,2,0.06,29.03,2963266.5
Primates,Cercopithecidae,Cercopithecus,nictitans,Cercopithecus nictitans,5256.91,549.99,169.51,1.0,,276.0,,403.83,1684.59,4,1,2,1.15,22.5,2185668.95
Primates,Cercopithecidae,Cercopithecus,petaurista,Cercopithecus petaurista,3233.67,410.0,,1.02,,228.0,,,,,,,,25.95,619437.28
Primates,Cercopithecidae,Cercopithecus,pogonias,Cercopithecus pogonias,3578.27,459.99,169.51,1.01,,289.2,,337.19,1684.59,3,1,2,1.15,19.04,1592652.96
Primates,Cercopithecidae,Cercopithecus,preussi,Cercopithecus preussi,5132.57,545.0,,1.02,,,,,,4,,2,,,60552.81
Primates,Cercopithecidae,Cercopithecus,sclateri,Cercopithecus sclateri,3067.29,,,1.02,,,,,,,,,,,30025.23
Primates,Cercopithecidae,Cercopithecus,solatus,Cercopithecus solatus,5256.91,,,1.01,,,,,,,,,,,14715.81
Primates,Cercopithecidae,Cercopithecus,wolfi,Cercopithecus wolfi,3255.18,480.0,,1.02,,,,435.0,,,,,,,1419828.69
Carnivora,Canidae,Cerdocyon,thous,Cerdocyon thous,5741.66,648.06,57.18,3.09,,138.0,72.33,140.0,279.15,7,1,2,1.41,3.54,7091683.41
Artiodactyla,Cervidae,Cervus,elaphus,Cervus elaphus,240867.13,2136.72,235.61,1.09,,321.6,104.64,8255.82,659.91,5,1,1,58.42,2.9,14167735.33
Artiodactyla,Cervidae,Cervus,nippon,Cervus nippon,52999.99,1200.51,223.66,1.0,,305.04,197.7,4277.11,518.12,2,1,1,1.43,0.75,2714652.61
Chiroptera,Molossidae,Chaerephon,bivittatus,Chaerephon bivittatus,15.42,,,,,,,,,,1,,,,3573026.75
Chiroptera,Molossidae,Chaerephon,jobensis,Chaerephon jobensis,20.71,,,,,,,,,1,1,3,,,2825882.53
Chiroptera,Molossidae,Chaerephon,major,Chaerephon major,15.17,,,1.0,,,,,,,1,,,,4903108.69
Chiroptera,Molossidae,Chaerephon,nigeriae,Chaerephon nigeriae,20.14,,,,,,,,,,1,,,,6732376.9
Chiroptera,Molossidae,Chaerephon,plicatus,Chaerephon plicatus,21.83,,88.64,0.99,2.0,,,4.5,,1,1,3,,,4893584.82
Chiroptera,Molossidae,Chaerephon,pumilus,Chaerephon pumilus,10.98,,62.57,1.0,3.0,60.0,24.5,3.63,140.97,1,1,3,,,14309050.1
Chiroptera,Molossidae,Chaerephon,russatus,Chaerephon russatus,16.98,,,0.99,,,,,,,1,,,,1671003.78
Chiroptera,Molossidae,Chaerephon,tomensis,Chaerephon tomensis,7.48,,,,,,,,,,,,,,862.58
Peramelemorphia,Chaeropodidae,Chaeropus,ecaudatus,Chaeropus ecaudatus,219.51,,,1.41,,,,,,2,2,2,,,
Rodentia,Gliridae,Chaetocauda,sichuanensis,Chaetocauda sichuanensis,31.51,91.8,,,,,,,,,1,,,,37.63
Rodentia,Heteromyidae,Chaetodipus,arenarius,Chaetodipus arenarius,23.0,68.37,,2.91,,,,,,,,,,,84613.78
Rodentia,Heteromyidae,Chaetodipus,baileyi,Chaetodipus baileyi,28.44,93.93,,3.68,,,,,,2,,2,,3548.51,225471.23
Rodentia,Heteromyidae,Chaetodipus,californicus,Chaetodipus californicus,23.01,,25.16,4.0,,,23.0,1.5,,,,,,,116215.94
Rodentia,Heteromyidae,Chaetodipus,fallax,Chaetodipus fallax,19.19,83.35,25.0,3.45,1.0,99.6,,,168.83,3,1,1,0.002300009,502.5,82998.2
Rodentia,Heteromyidae,Chaetodipus,formosus,Chaetodipus formosus,20.02,193.91,28.0,5.28,1.0,60.0,21.0,1.0,377.57,,,,,,397044.69
Rodentia,Heteromyidae,Chaetodipus,hispidus,Chaetodipus hispidus,37.24,104.51,,5.34,2.0,,30.18,,,1,2,1,,,2344025.56
Rodentia,Heteromyidae,Chaetodipus,intermedius,Chaetodipus intermedius,14.94,,,5.53,,,,,,,,,,425.17,511920.17
Rodentia,Heteromyidae,Chaetodipus,lineatus,Chaetodipus lineatus,23.0,73.58,,,,,,,,1,2,1,,,18026.29
Rodentia,Heteromyidae,Chaetodipus,nelsoni,Chaetodipus nelsoni,15.53,79.83,30.63,3.46,,,,,,3,2,2,0.002835545,473.46,566702.48
Rodentia,Heteromyidae,Chaetodipus,penicillatus,Chaetodipus penicillatus,15.57,77.36,26.0,3.4,,,,,,,,,0.005027576,172.99,407770.3
Rodentia,Heteromyidae,Chaetodipus,pernix,Chaetodipus pernix,17.0,71.87,,,,,,,,1,,1,,,99496.23
Rodentia,Heteromyidae,Chaetodipus,spinatus,Chaetodipus spinatus,16.34,83.66,,3.5,,,,,,,,,,,126559.57
Rodentia,Cricetidae,Cricetulus,migratorius,Cricetulus migratorius,30.59,,12.0,5.2,2.0,,24.5,,,,,,,221.44,10345012.78
Rodentia,Cricetidae,Cricetus,cricetus,Cricetus cricetus,428.95,,19.5,7.14,2.0,48.0,24.85,4.71,86.48,,,,,,6712427.93
Soricomorpha,Soricidae,Crocidura,batesi,Crocidura batesi,16.49,68.79,,,,,,,,,,,,,37339.81
Soricomorpha,Soricidae,Crocidura,beatus,Crocidura beatus,10.55,,,,,,,,,,,,,,106437.39
Soricomorpha,Soricidae,Crocidura,bottegi,Crocidura bottegi,3.49,,,2.99,,,,,,,,,,,1848307.67
Soricomorpha,Soricidae,Crocidura,canariensis,Crocidura canariensis,7.5,,,,,,,,,,,,,,2488.94
Soricomorpha,Soricidae,Crocidura,crossei,Crocidura crossei,8.0,,,3.0,,,,,,,,,,,638623.02
Soricomorpha,Soricidae,Crocidura,cyanea,Crocidura cyanea,8.58,,,3.59,,,,,,4,1,2,,,2795963.1
Soricomorpha,Soricidae,Crocidura,dolichura,Crocidura dolichura,5.63,71.0,,,,,,,,,,,,,2008582.62
Soricomorpha,Soricidae,Crocidura,douceti,Crocidura douceti,4.3,,,,,,,,,,,,,,300718.28
Soricomorpha,Soricidae,Crocidura,elgonius,Crocidura elgonius,6.5,,,,,,,,,,,,,,28984.98
Soricomorpha,Soricidae,Crocidura,flavescens,Crocidura flavescens,31.22,,25.0,3.37,,,,2.25,,1,,3,,,428284.66
Soricomorpha,Soricidae,Crocidura,foxi,Crocidura foxi,21.0,,,1.99,,,,,,,,,,,13366.6
Soricomorpha,Soricidae,Crocidura,fuliginosa,Crocidura fuliginosa,12.0,,,1.73,,,,,,,,,,,2819121.5
Soricomorpha,Soricidae,Crocidura,fulvastra,Crocidura fulvastra,10.0,,,,,,,,,,,,,,2581429.54
Soricomorpha,Soricidae,Crocidura,fumosa,Crocidura fumosa,14.49,,,3.74,,,,,,,,,,,19575.94
Soricomorpha,Soricidae,Crocidura,fuscomurina,Crocidura fuscomurina,5.6,60.21,,3.0,,,17.29,0.59,,3,1,2,,135.52,8975539.37
Soricomorpha,Soricidae,Crocidura,goliath,Crocidura goliath,87.92,147.42,,,,,,,,,,,,,362264.14
Soricomorpha,Soricidae,Crocidura,gracilipes,Crocidura gracilipes,6.69,,,2.99,,,,,,,,,,,941.78
Soricomorpha,Soricidae,Crocidura,grandiceps,Crocidura grandiceps,23.0,,,,,,,,,,,,,,444066.2
Soricomorpha,Soricidae,Crocidura,grayi,Crocidura grayi,10.7,,,,,,,,,1,,3,,,117062.79
Soricomorpha,Soricidae,Crocidura,hildegardeae,Crocidura hildegardeae,10.28,,,,,,,,,,,,,347.22,1955205.86
Soricomorpha,Soricidae,Crocidura,hirta,Crocidura hirta,15.8,,18.0,3.89,,,17.74,1.0,,4,1,2,,44.12,7864395.6
Soricomorpha,Soricidae,Crocidura,pasha,Crocidura pasha,6.5,,,,,,,,,,,,,,191006.19
Soricomorpha,Soricidae,Crocidura,planiceps,Crocidura planiceps,2.5,,,3.0,,,,,,,,,,,1928145.76
Soricomorpha,Soricidae,Crocidura,poensis,Crocidura poensis,17.05,,,2.44,,,,,,,,,,,782442.1
Soricomorpha,Soricidae,Crocidura,raineyi,Crocidura raineyi,14.49,,,,,,,,,,,,,,78.45
Soricomorpha,Soricidae,Crocidura,religiosa,Crocidura religiosa,7.0,,,,,,,,,,,,,,190264.68
Soricomorpha,Soricidae,Crocidura,russula,Crocidura russula,9.89,69.29,29.0,4.04,,38.4,23.82,0.8,66.88,2,1,3,0.000165903,8850.0,3344352.67
