order,family,genus,species,binomial,adult_body_mass_g,adult_head_body_len_mm,gestation_days,litter_size,litters_per_year,max_longevity_months,weaning_age_days,neonate_body_mass_g,sexual_maturity_age_days,diet_breadth,habitat_breadth,trophic_level,home_range_km2,pop_density_per_km2,geog_range_km2
Primates,Galagidae,Euoticus,pallidus,Euoticus pallidus,277.37,,,,,,,,,,,,,,117645.33
Cingulata,Dasypodidae,Euphractus,sexcinctus,Euphractus sexcinctus,4731.16,446.66,64.66,1.73,,225.96,28.0,104.98,283.18,6,2,2,0.65,1.77,6270416.0
Carnivora,Eupleridae,Eupleres,goudotii,Eupleres goudotii,2763.34,549.99,93.86,1.0,,,62.99,150.0,,6,1,2,,,111808.26
Soricomorpha,Talpidae,Euroscaptor,micrura,Euroscaptor micrura,60.46,122.0,,,,36.0,,,,1,2,3,,,157260.51
Soricomorpha,Talpidae,Euroscaptor,mizura,Euroscaptor mizura,25.05,90.89,40.0,3.0,1.0,36.0,,,,1,1,3,,,7152.32
Rodentia,Echimyidae,Euryzygomatomys,spinosus,Euryzygomatomys spinosus,187.49,,,0.97,,,,,,,,,,,1396880.41
Rodentia,Sciuridae,Exilisciurus,concinnus,Exilisciurus concinnus,27.72,,,1.94,,,,,,,,,,,121262.31
Artiodactyla,Bovidae,Connochaetes,taurinus,Connochaetes taurinus,198619.68,2014.99,251.49,0.98,,258.0,256.32,18044.36,841.82,1,1,1,,7.99,3201113.49
Chiroptera,Emballonuridae,Cormura,brevirostris,Cormura brevirostris,9.26,,,,,,,,,1,1,3,,,6457181.09
Chiroptera,Vespertilionidae,Corynorhinus,rafinesquii,Corynorhinus rafinesquii,9.15,,55.27,1.0,1.0,121.2,21.0,2.45,210.45,1,1,3,,,1333256.65
Chiroptera,Vespertilionidae,Corynorhinus,townsendii,Corynorhinus townsendii,10.3,57.5,67.49,0.99,1.0,254.0,40.5,2.39,,1,1,3,,,4604871.5
Chiroptera,Craseonycteridae,Craseonycteris,thonglongyai,Craseonycteris thonglongyai,1.96,30.99,,1.0,1.0,,,,,1,1,3,,,895.08
Rodentia,Geomyidae,Cratogeomys,castanops,Cratogeomys castanops,266.83,192.55,,2.34,3.5,56.4,,6.06,,4,2,1,,1001.77,653636.15
Rodentia,Geomyidae,Cratogeomys,fumosus,Cratogeomys fumosus,150.0,,,,,,,,,3,2,1,,,512.65
