population,generation,mean_fitness,sd_fitness,se_fitness,n
Ara + 4,16000,1.541385826,0.021414839176892405,0.015142577999999962,2
Ara + 4,17000,1.547891599,0.03709083790144114,0.02622718300000004,2
Ara + 4,18000,1.6402479725,0.07188363179703444,0.05082940349999998,2
Ara + 4,19000,1.7060691874999998,0.18175133645917438,0.1285176025,2
Ara + 4,20000,1.6253701575,0.10709460935012832,0.07572732449999997,2
Ara + 4,22000,1.5141336425,0.1675648836250393,0.11848626549999995,2
Ara + 4,24000,1.4809729919999999,0.05766456790525793,0.04077500700000003,2
Ara + 4,26000,1.5520920935,0.15793937559557483,0.11168000350000007,2
Ara + 4,28000,1.6546372489999999,0.15181853555393718,0.10735191599999994,2
Ara + 4,30000,1.7555148645,0.12167589646874231,0.08603785149999997,2
Ara + 4,32000,1.8274743034999998,0.2750672142807337,0.19450189249999994,2
Ara + 4,34000,1.7099022915000002,0.10572105301345995,0.0747560735,2
Ara + 4,36000,1.7069998155000001,0.1541343986506708,0.10898947849999996,2
Ara + 4,38000,1.657807827,0.24485349399346681,0.17313756599999996,2
Ara + 4,40000,1.6648468735,0.3480846472536737,0.24613301450000002,2
Ara + 4,42000,1.65172732,0.02048087556973862,0.014482166000000072,2
Ara + 4,44000,1.9067074720000001,0.13838851019897663,0.09785545400000006,2
Ara + 4,46000,1.4723812485,0.06504524171415907,0.04599393149999997,2
Ara + 4,48000,1.6083495775,0.06794091752222332,0.04804148350000004,2
Ara + 4,50000,1.6756031985000002,0.07760047698584267,0.054871823499999965,2
Ara + 5,0,0.9929294355,0.02307931038424428,0.01153965519212214,4
Ara + 5,500,1.123304761,0.004599312418617603,0.0032522050000000076,2
Ara + 5,1000,1.225075938,0.08466733963368044,0.059868849999999973,2
Ara + 5,1500,1.3060745215,0.1632988843725104,0.11546974850000002,2
Ara + 5,2000,1.3130735654999999,0.002092366442190311,0.001479526499999939,2
Ara + 5,2500,1.4145679935,0.18788055076642146,0.1328516115,2
Ara + 5,3000,1.4415415894999999,0.06591156490083827,0.04660651449999997,2
Ara + 5,3500,1.4030351859999999,0.021922486691455557,0.015501539000000064,2
Ara + 5,4000,1.4180389475,0.018940106156989083,0.01339267750000006,2
Ara + 5,4500,1.3362293159999998,0.015222789946855572,0.010764137999999977,2
Ara + 5,5000,1.4691331294999999,0.02593556728338297,0.01833921550000006,2
Ara + 5,6000,1.510378314,0.14402046156184897,0.10183784499999991,2
Ara + 5,7000,1.393367716,0.09612300830426976,0.06796923099999996,2
Ara + 5,8000,1.5866393804999999,0.14772268528484478,0.10445571249999995,2
Ara + 5,9000,1.451751289,0.013294345705786605,0.009400521999999967,2
Ara + 5,10000,1.5160786910000001,0.1417168688890895,0.10020895900000004,2
Ara + 5,11000,1.4762764195,0.11640028308296725,0.0823074294999999,2
Ara + 5,12000,1.5101260335,0.13037927078750228,0.09219206649999999,2
Ara + 5,13000,1.5384450484999999,0.04464922461501733,0.03157176950000007,2
Ara + 5,14000,1.600038074,0.1347857502371429,0.09530791800000005,2
