species,oldest,youngest,body_size,hypsodonty,midpoint_Ma
Nannippus_lenticularis,9.0,4.89,98.0,4.3,6.945
Nannippus_aztecus,10.1,4.89,54.0,4.6,7.495
Nannippus_peninsulatus,4.89,1.8,75.0,6.0,3.345
Nannippus_beckensis,4.89,3.6,65.0,3.54,4.245
Cormohipparion_sphenodus,16.0,12.4,127.0,2.27,14.2
Cormohipparion_plicatile,10.1,7.4,168.0,3.6,8.75
Cormohipparion_ingenuum,12.4,7.4,112.0,3.4,9.9
Cormohipparion_emsliei,7.4,1.8,89.0,3.6,4.6
Cormohipparion_quinni,14.8,12.4,128.0,2.25,13.6
Cormohipparion_occidentale,12.0,7.4,151.0,3.5,9.7
Hippotherium_primigenium,11.0,7.1,293.0,2.5,9.05
Hippotherium_laromae,9.6,7.8,340.0,2.6,8.7
Hipparion_coelophyes,9.6,5.6,200.0,2.6,7.6
Hipparion_hippidiodus,7.8,6.8,177.0,2.8,7.3
Hipparion_platyodus,6.8,5.6,179.0,2.6,6.2
Eurygnathohippus_cornelianus,1.9,0.6,500.0,3.26,1.25
Plesiohipparion_rocinantis,3.4,2.58,391.0,3.2,2.99
Plesiohipparion_turkanense,6.8,3.4,500.0,2.4,5.1
Hipparion_antelopinum,7.8,6.8,190.0,2.92,7.3
Plesiohipparion_houfenense,3.4,2.58,437.0,3.24,2.99
Proboscidipparion_pater,5.6,3.4,398.0,2.81,4.5
Proboscidipparion_sinense,3.4,0.781,465.0,3.5,2.091
Eurygnathohippus_afarense,3.4,2.58,600.0,3.26,2.99
Eurygnathohippus_libycum,3.4,0.011,500.0,3.53,1.706
Hipparion_prostylum,8.5,6.8,175.0,2.6,7.65
Cremohipparion_proboscidium,8.5,7.1,249.0,2.34,7.8
Cremohipparion_mediterraneum,8.5,6.8,190.0,2.45,7.65
Cremohipparion_licenti,5.6,3.4,105.0,2.86,4.5
Cremohipparion_forstenae,9.6,6.8,200.0,2.6,8.2
Cremohipparion_mathewi,6.8,5.6,140.0,2.8,6.2
Cremohipparion_periafricanum,6.8,5.6,40.0,3.3,6.2
Hipparion_fissurae,5.6,3.4,185.0,3.15,4.5
Hipparion_longipes,5.6,3.4,300.0,2.83,4.5
Hipparion_concudense,9.6,6.8,180.0,2.6,8.2
Hipparion_crassum,5.3,4.3,320.0,2.82,4.8
