species,family,order,mass_g,wing_length_mm,beak_length_culmen_mm,beak_length_nares_mm,beak_width_mm,beak_depth_mm,tarsus_length_mm,tail_length_mm,kipps_distance_mm,hand_wing_index,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size_km2,centroid_latitude,centroid_longitude
Accipiter albogularis,Accipitridae,Accipitriformes,248.8,235.2,27.7,17.8,10.6,14.7,62.0,169.0,81.8,33.9,Forest,1,2,Carnivore,Vertivore,Insessorial,37461.21,-8.15,158.49
Accipiter badius,Accipitridae,Accipitriformes,131.2,186.7,20.6,12.1,8.8,11.6,43.0,140.6,62.5,32.9,Shrubland,2,3,Carnivore,Vertivore,Insessorial,22374973.0,8.23,44.98
Accipiter bicolor,Accipitridae,Accipitriformes,287.5,229.6,25.0,13.7,8.6,12.7,58.1,186.3,56.6,24.6,Woodland,2,2,Carnivore,Vertivore,Generalist,14309701.27,-10.1,-59.96
Accipiter brachyurus,Accipitridae,Accipitriformes,142.0,202.2,22.5,14.0,8.9,11.9,61.2,140.8,64.1,31.7,Forest,1,2,Carnivore,Vertivore,Insessorial,35580.71,-5.45,150.68
Accipiter brevipes,Accipitridae,Accipitriformes,186.5,217.6,21.1,12.1,8.7,11.1,46.4,153.5,87.8,40.2,Forest,1,3,Carnivore,Vertivore,Generalist,2936751.8,45.24,45.33
Accipiter butleri,Accipitridae,Accipitriformes,122.0,166.0,20.0,11.9,6.6,12.0,48.7,127.0,42.9,25.8,Forest,1,1,Carnivore,Vertivore,Insessorial,327.84,8.42,93.17
Accipiter castanilius,Accipitridae,Accipitriformes,157.5,163.5,20.5,11.5,8.3,10.9,52.6,135.4,38.9,24.0,Forest,1,2,Carnivore,Vertivore,Insessorial,2096401.63,0.71,18.29
Accipiter cirrocephalus,Accipitridae,Accipitriformes,165.7,213.0,19.2,10.6,7.7,9.6,60.3,155.4,81.3,37.8,Forest,1,2,Carnivore,Vertivore,Generalist,5488639.45,-23.36,137.81
Accipiter collaris,Accipitridae,Accipitriformes,97.8,165.9,20.0,11.2,8.6,11.0,43.6,125.0,49.5,30.0,Forest,1,2,Carnivore,Vertivore,Insessorial,253265.36,2.47,-75.57
Accipiter cooperii,Accipitridae,Accipitriformes,429.7,241.2,25.4,13.9,8.6,13.2,62.0,188.4,77.8,32.3,Woodland,2,3,Carnivore,Vertivore,Aerial,8393137.06,41.25,-100.49
Accipiter erythrauchen,Accipitridae,Accipitriformes,156.0,191.2,21.1,12.2,8.6,11.2,59.5,154.8,58.9,30.8,Forest,1,1,Carnivore,Vertivore,Generalist,48150.32,-1.32,128.19
Accipiter erythropus,Accipitridae,Accipitriformes,111.2,154.6,17.6,9.7,7.2,9.6,43.0,104.4,40.9,27.1,Forest,1,1,Carnivore,Vertivore,Insessorial,3904812.09,3.48,10.44
Accipiter fasciatus,Accipitridae,Accipitriformes,358.7,269.9,28.5,19.1,11.2,15.2,71.9,206.0,103.6,38.3,Forest,1,1,Carnivore,Vertivore,Generalist,8180196.71,-24.45,134.95
Accipiter francesiae,Accipitridae,Accipitriformes,136.8,155.8,20.2,13.1,8.7,10.7,48.1,127.5,43.2,27.8,Forest,1,1,Carnivore,Invertivore,Insessorial,519468.81,-19.49,46.67
Accipiter gentilis,Accipitridae,Accipitriformes,866.0,337.6,33.7,19.6,11.6,18.0,67.3,241.1,122.6,36.3,Forest,1,2,Carnivore,Vertivore,Generalist,31775270.74,54.91,19.06
Accipiter griseiceps,Accipitridae,Accipitriformes,251.8,187.2,24.1,14.6,8.8,12.4,52.0,141.2,50.0,26.8,Forest,1,1,Carnivore,Vertivore,Insessorial,140604.94,-1.96,121.18
Accipiter gularis,Accipitridae,Accipitriformes,120.7,162.6,23.3,9.5,6.6,9.1,43.6,106.4,54.2,33.2,Forest,1,3,Carnivore,Vertivore,Insessorial,4785704.92,49.07,117.11
Accipiter gundlachi,Accipitridae,Accipitriformes,675.0,228.0,26.0,15.2,8.3,16.3,71.3,223.0,61.8,27.1,Forest,1,1,Carnivore,Vertivore,Aerial,33511.43,21.62,-79.36
Accipiter haplochrous,Accipitridae,Accipitriformes,198.4,227.8,23.7,13.9,9.6,13.2,58.9,155.0,74.5,32.7,Forest,1,1,Carnivore,Vertivore,Insessorial,16389.59,-21.33,165.48
Accipiter henicogrammus,Accipitridae,Accipitriformes,358.7,230.2,27.9,15.9,10.0,13.6,65.1,190.0,72.0,31.1,Forest,1,1,Carnivore,Vertivore,Insessorial,22781.85,0.88,128.01
Accipiter henstii,Accipitridae,Accipitriformes,1050.0,290.5,32.6,18.1,11.8,17.2,75.0,245.0,78.0,27.0,Forest,1,1,Carnivore,Vertivore,Insessorial,434639.7,-18.72,46.85
Accipiter hiogaster,Accipitridae,Accipitriformes,326.1,197.2,26.0,15.9,9.4,13.9,51.1,136.5,60.8,30.8,Forest,1,1,Carnivore,Vertivore,Insessorial,794517.61,-5.26,141.22
Accipiter imitator,Accipitridae,Accipitriformes,222.5,200.0,26.4,16.8,9.1,12.2,49.6,161.0,60.0,30.0,Forest,1,1,Carnivore,Vertivore,Insessorial,10050.21,-6.76,156.47
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,214.0,188.0,26.4,16.8,7.8,11.9,51.5,146.0,57.0,30.3,Forest,1,1,Carnivore,Vertivore,Insessorial,28814.74,-5.5,150.45
Accipiter madagascariensis,Accipitridae,Accipitriformes,180.4,190.8,19.7,10.7,7.4,9.4,58.0,149.5,54.5,28.7,Forest,1,1,Carnivore,Vertivore,Insessorial,476517.51,-19.43,46.69
Accipiter melanochlamys,Accipitridae,Accipitriformes,265.0,228.6,25.9,15.6,11.0,13.9,62.7,164.8,75.0,32.4,Forest,1,1,Carnivore,Vertivore,Generalist,115449.94,-5.31,141.87
Accipiter melanoleucus,Accipitridae,Accipitriformes,699.0,302.8,29.6,18.0,10.3,16.3,75.8,219.4,107.2,35.0,Forest,1,1,Carnivore,Vertivore,Generalist,9067092.6,-5.51,25.85
Accipiter meyerianus,Accipitridae,Accipitriformes,763.5,309.5,35.0,20.6,12.6,18.6,75.4,200.0,102.0,33.0,Forest,1,1,Carnivore,Vertivore,Generalist,269144.41,-4.7,141.36
Accipiter minullus,Accipitridae,Accipitriformes,87.4,150.4,16.5,9.2,6.6,8.8,41.3,105.2,44.6,29.6,Forest,1,1,Carnivore,Vertivore,Generalist,6794381.58,-9.71,29.57
Accipiter nanus,Accipitridae,Accipitriformes,117.0,152.4,17.6,10.6,7.6,10.1,46.6,109.0,44.9,29.5,Forest,1,1,Carnivore,Invertivore,Insessorial,110477.0,-1.08,121.34
Accipiter nisus,Accipitridae,Accipitriformes,220.8,207.4,19.6,11.4,8.4,10.0,53.6,155.5,74.2,35.5,Forest,1,2,Carnivore,Vertivore,Insessorial,23601609.31,54.67,77.29
Accipiter novaehollandiae,Accipitridae,Accipitriformes,326.1,261.9,31.6,19.9,11.5,16.5,69.0,183.6,76.0,28.9,Forest,1,1,Carnivore,Vertivore,Insessorial,1807067.3,-26.72,143.49
Accipiter ovampensis,Accipitridae,Accipitriformes,195.0,222.4,20.5,11.2,7.5,10.3,49.4,155.0,86.2,38.4,Shrubland,2,1,Carnivore,Vertivore,Aerial,7295779.86,-8.53,23.37
Accipiter poliocephalus,Accipitridae,Accipitriformes,214.8,210.5,25.0,15.4,10.1,13.7,60.3,157.2,67.8,32.1,Forest,1,1,Carnivore,Vertivore,Insessorial,671500.51,-5.32,140.74
Accipiter poliogaster,Accipitridae,Accipitriformes,315.0,240.4,27.7,14.9,8.0,13.2,52.4,174.6,72.6,29.6,Forest,1,2,Carnivore,Vertivore,Insessorial,7203530.62,-7.81,-60.09
Accipiter princeps,Accipitridae,Accipitriformes,214.8,266.3,33.6,22.2,13.8,17.8,68.0,192.3,77.8,29.2,Forest,1,1,Carnivore,Vertivore,Insessorial,11549.62,-5.35,151.04
Accipiter rhodogaster,Accipitridae,Accipitriformes,172.7,172.6,20.5,11.8,7.9,10.8,53.4,125.8,51.6,29.7,Forest,1,1,Carnivore,Vertivore,Insessorial,146036.85,-1.93,121.39
Accipiter rufitorques,Accipitridae,Accipitriformes,209.0,217.6,26.0,15.4,10.3,13.7,59.2,146.0,73.5,34.1,Forest,1,1,Carnivore,Vertivore,Generalist,17581.12,-17.45,169.39
Accipiter rufiventris,Accipitridae,Accipitriformes,198.0,218.6,20.3,10.7,7.8,10.0,54.2,165.8,83.0,38.1,Forest,1,1,Carnivore,Vertivore,Aerial,756057.21,-7.01,32.6
Accipiter soloensis,Accipitridae,Accipitriformes,164.8,187.8,25.6,11.4,8.6,9.7,39.5,123.4,73.1,39.0,Forest,1,3,Carnivore,Vertivore,Insessorial,2375886.74,31.97,117.13
Accipiter striatus,Accipitridae,Accipitriformes,130.6,181.6,18.3,10.1,7.3,9.4,49.9,134.3,56.6,30.7,Forest,1,3,Carnivore,Vertivore,Aerial,16375303.87,34.35,-96.11
Accipiter superciliosus,Accipitridae,Accipitriformes,96.4,146.4,19.4,10.8,6.7,10.4,37.4,104.6,38.6,26.9,Forest,1,1,Carnivore,Vertivore,Aerial,8560355.56,-6.22,-60.98
Accipiter sylvestris,Accipitridae,Accipitriformes,326.1,206.4,26.0,14.9,9.2,13.1,54.5,146.9,66.0,32.0,Forest,1,1,Carnivore,Vertivore,Insessorial,34582.63,-8.57,120.12
Accipiter tachiro,Accipitridae,Accipitriformes,290.2,217.4,18.0,15.3,9.1,12.4,65.7,175.0,55.6,25.7,Forest,1,1,Carnivore,Vertivore,Aerial,5174215.21,-12.54,29.9
Accipiter toussenelii,Accipitridae,Accipitriformes,249.3,189.0,24.4,13.9,9.2,11.9,62.1,157.2,48.2,24.4,Forest,1,1,Carnivore,Vertivore,Insessorial,4598131.33,3.51,15.99
Accipiter trinotatus,Accipitridae,Accipitriformes,146.0,162.9,20.4,13.3,8.6,11.2,48.2,128.8,43.0,27.2,Forest,1,1,Carnivore,Vertivore,Insessorial,120238.86,-1.81,121.37
Accipiter trivirgatus,Accipitridae,Accipitriformes,265.0,216.2,31.7,17.3,10.5,14.1,56.9,171.9,49.6,23.0,Forest,1,1,Carnivore,Vertivore,Insessorial,3366430.69,13.91,101.71
Accipiter virgatus,Accipitridae,Accipitriformes,117.0,167.7,21.2,11.7,7.6,10.2,49.8,123.9,46.7,27.4,Forest,1,2,Carnivore,Vertivore,Generalist,4398429.71,22.08,101.25
Aegypius monachus,Accipitridae,Accipitriformes,9320.6,734.2,87.8,59.9,27.9,39.8,134.2,371.0,302.2,41.1,Forest,2,1,Scavenger,Scavenger,Terrestrial,7718571.19,41.63,87.87
Aquila adalberti,Accipitridae,Accipitriformes,2958.0,592.5,61.2,39.8,21.1,31.0,98.4,297.0,235.0,39.7,Woodland,1,2,Carnivore,Vertivore,Generalist,131221.76,39.06,-5.23
Aquila africana,Accipitridae,Accipitriformes,1047.0,342.2,39.4,23.4,12.8,20.4,76.6,277.8,93.8,27.4,Woodland,1,2,Carnivore,Vertivore,Generalist,1918245.9,1.97,13.68
Aquila audax,Accipitridae,Accipitriformes,3449.9,617.7,60.5,40.9,19.6,31.2,104.0,387.0,244.5,39.6,Woodland,1,2,Carnivore,Vertivore,Generalist,7679648.03,-25.74,134.48
Aquila chrysaetos,Accipitridae,Accipitriformes,4248.0,603.1,56.8,37.0,18.5,28.4,101.4,307.1,221.2,36.7,Grassland,3,2,Carnivore,Vertivore,Aerial,39450257.98,50.67,38.05
Aquila fasciata,Accipitridae,Accipitriformes,1936.5,486.8,45.7,28.9,16.2,23.7,93.2,260.0,181.8,37.3,Rock,3,2,Carnivore,Vertivore,Aerial,5630034.84,27.52,62.08
Aquila gurneyi,Accipitridae,Accipitriformes,3060.0,544.5,55.4,33.3,16.6,21.9,99.4,365.5,183.8,33.8,Forest,1,1,Carnivore,Vertivore,Aerial,601810.35,-5.05,140.46
Aquila heliaca,Accipitridae,Accipitriformes,3125.2,582.2,59.0,37.5,19.8,28.4,93.7,316.2,230.8,39.5,Woodland,1,3,Carnivore,Vertivore,Generalist,9556213.62,49.87,70.89
Aquila nipalensis,Accipitridae,Accipitriformes,2714.3,559.6,54.1,32.4,17.7,25.2,95.1,271.4,225.2,40.5,Grassland,3,3,Carnivore,Vertivore,Aerial,6933240.92,43.73,85.14
Aquila rapax,Accipitridae,Accipitriformes,2236.1,506.6,54.0,31.5,16.8,24.3,84.3,242.4,196.0,38.7,Shrubland,2,3,Carnivore,Vertivore,Generalist,17572054.36,3.92,30.52
Aquila spilogaster,Accipitridae,Accipitriformes,1466.2,427.6,44.0,27.5,14.4,22.6,91.1,254.8,151.2,35.2,Grassland,3,1,Carnivore,Vertivore,Generalist,12423292.01,-2.84,24.33
Aquila verreauxii,Accipitridae,Accipitriformes,4195.0,590.2,58.2,35.5,18.3,27.6,117.4,403.5,200.5,34.0,Rock,3,1,Carnivore,Vertivore,Aerial,4020161.71,-9.59,29.12
Aviceda cuculoides,Accipitridae,Accipitriformes,277.0,264.6,25.5,17.1,10.6,13.9,33.0,154.2,114.0,42.4,Forest,1,1,Carnivore,Vertivore,Insessorial,10593852.38,-3.74,21.08
Aviceda jerdoni,Accipitridae,Accipitriformes,363.0,302.8,45.5,21.7,12.9,15.9,34.7,211.0,76.9,25.6,Forest,2,1,Carnivore,Omnivore,Insessorial,1592906.95,6.17,107.44
Aviceda leuphotes,Accipitridae,Accipitriformes,194.0,230.6,24.6,16.4,10.2,12.5,25.0,124.0,82.0,35.3,Forest,2,3,Carnivore,Invertivore,Insessorial,3528791.57,23.21,103.96
Aviceda madagascariensis,Accipitridae,Accipitriformes,277.0,314.2,28.6,20.1,11.6,16.2,38.7,169.2,106.0,33.8,Forest,1,1,Carnivore,Vertivore,Insessorial,340717.9,-18.1,47.27
Aviceda subcristata,Accipitridae,Accipitriformes,322.7,336.6,28.3,19.7,11.6,14.7,36.3,202.0,134.5,40.2,Forest,2,1,Carnivore,Omnivore,Insessorial,1718124.83,-12.44,141.78
Busarellus nigricollis,Accipitridae,Accipitriformes,766.1,393.5,40.8,27.1,12.5,17.6,76.1,199.8,105.9,27.0,Forest,1,1,Carnivore,Aquatic predator,Insessorial,12825637.87,-7.16,-59.48
Butastur indicus,Accipitridae,Accipitriformes,414.6,327.6,40.5,18.4,10.4,14.5,53.4,191.8,155.1,46.9,Woodland,2,3,Carnivore,Vertivore,Insessorial,1828306.34,44.31,129.81
Butastur liventer,Accipitridae,Accipitriformes,338.0,275.0,31.3,17.0,10.5,14.0,61.7,149.0,115.6,42.0,Woodland,3,1,Carnivore,Vertivore,Insessorial,1357262.8,12.53,104.1
Butastur rufipennis,Accipitridae,Accipitriformes,334.9,311.2,28.7,16.3,10.3,12.3,58.4,181.4,143.5,45.8,Woodland,3,1,Carnivore,Invertivore,Insessorial,3625177.22,12.64,11.75
Butastur teesa,Accipitridae,Accipitriformes,325.0,295.4,30.6,18.0,10.7,13.8,60.4,191.0,132.0,44.5,Woodland,3,1,Carnivore,Vertivore,Insessorial,3969936.2,23.18,78.91
Buteo albigula,Accipitridae,Accipitriformes,525.0,291.0,27.9,17.9,11.4,15.2,57.9,182.2,109.6,37.6,Forest,2,3,Carnivore,Vertivore,Generalist,1021826.91,-24.5,-72.05
Buteo albonotatus,Accipitridae,Accipitriformes,745.9,398.0,35.1,21.1,12.7,16.9,70.4,217.0,159.7,40.3,Forest,1,1,Carnivore,Vertivore,Aerial,7192504.19,0.47,-69.62
Buteo augur,Accipitridae,Accipitriformes,1099.2,410.2,42.7,24.4,13.3,18.9,89.3,188.5,129.3,31.4,Woodland,2,1,Carnivore,Vertivore,Insessorial,3919632.94,-5.73,31.96
Buteo auguralis,Accipitridae,Accipitriformes,663.9,356.2,33.3,18.6,11.2,15.6,73.6,192.6,135.9,37.8,Forest,1,1,Carnivore,Vertivore,Insessorial,7045229.26,7.61,12.15
Buteo brachypterus,Accipitridae,Accipitriformes,511.0,315.4,33.6,19.7,11.5,16.4,63.1,184.4,100.1,31.7,Forest,1,1,Carnivore,Vertivore,Insessorial,591120.44,-19.38,46.7
Buteo brachyurus,Accipitridae,Accipitriformes,496.0,307.6,31.1,17.0,10.4,14.9,53.8,171.0,90.0,29.7,Forest,1,1,Carnivore,Vertivore,Aerial,14372802.04,-5.09,-62.04
Buteo buteo,Accipitridae,Accipitriformes,759.1,382.9,35.9,22.1,12.6,16.6,75.8,214.4,147.2,38.3,Grassland,3,2,Carnivore,Vertivore,Insessorial,11719424.27,52.89,40.23
Buteo galapagoensis,Accipitridae,Accipitriformes,1137.4,402.6,40.9,26.0,13.9,19.3,77.0,235.2,176.8,43.6,Woodland,1,1,Carnivore,Vertivore,Aerial,5639.54,-0.44,-91.13
Buteo hemilasius,Accipitridae,Accipitriformes,1358.9,467.2,40.7,23.1,14.7,18.8,80.0,251.4,179.0,38.2,Grassland,3,1,Carnivore,Vertivore,Generalist,5366251.83,42.4,100.83
Buteo jamaicensis,Accipitridae,Accipitriformes,1101.2,402.8,37.6,22.9,14.4,20.2,80.9,212.2,139.9,34.1,Woodland,2,3,Carnivore,Vertivore,Insessorial,15462822.34,45.5,-105.33
Buteo japonicus,Accipitridae,Accipitriformes,759.1,395.0,34.5,19.4,11.7,15.8,77.0,212.0,163.0,41.2,Grassland,3,2,Carnivore,Vertivore,Insessorial,4465171.4,54.33,126.58
Buteo lagopus,Accipitridae,Accipitriformes,949.8,428.3,34.5,20.2,11.7,15.9,72.3,240.0,180.3,42.1,Grassland,3,3,Carnivore,Vertivore,Insessorial,9709846.76,67.33,2.14
Buteo lineatus,Accipitridae,Accipitriformes,603.7,319.0,33.1,20.3,11.8,16.3,74.1,172.8,106.9,33.4,Woodland,1,3,Carnivore,Vertivore,Aerial,3542030.5,37.72,-86.88
Buteo nitidus,Accipitridae,Accipitriformes,519.0,247.3,30.3,18.5,11.2,15.3,64.6,170.6,71.9,27.5,Forest,1,1,Carnivore,Vertivore,Insessorial,10412658.23,-6.6,-57.82
Buteo oreophilus,Accipitridae,Accipitriformes,700.0,346.0,35.1,19.6,11.4,15.3,70.9,182.5,124.7,36.0,Forest,1,1,Carnivore,Vertivore,Insessorial,674707.01,1.09,35.38
Buteo plagiatus,Accipitridae,Accipitriformes,519.0,267.9,34.1,20.9,11.4,17.2,78.7,162.0,81.6,30.5,Forest,1,1,Carnivore,Vertivore,Insessorial,1432406.12,19.92,-96.08
Buteo platypterus,Accipitridae,Accipitriformes,453.7,277.7,28.3,17.8,11.1,14.4,53.4,178.8,103.7,36.9,Forest,2,3,Carnivore,Vertivore,Insessorial,4864047.78,42.9,-87.09
Buteo refectus,Accipitridae,Accipitriformes,759.1,346.0,33.4,20.4,11.8,16.1,64.9,173.3,125.7,36.3,Grassland,3,2,Carnivore,Vertivore,Insessorial,411852.38,29.54,82.67
Buteo regalis,Accipitridae,Accipitriformes,1437.2,431.0,41.3,23.8,18.3,20.2,81.6,240.6,179.2,41.3,Grassland,3,3,Carnivore,Vertivore,Generalist,2780053.23,43.14,-108.76
Buteo ridgwayi,Accipitridae,Accipitriformes,315.0,222.5,26.5,14.9,9.8,14.2,65.8,144.2,73.9,33.4,Forest,1,1,Carnivore,Vertivore,Insessorial,210.23,19.07,-69.57
Buteo rufinus,Accipitridae,Accipitriformes,1166.2,447.5,41.6,23.5,14.0,19.8,86.1,244.5,180.8,40.5,Grassland,3,3,Carnivore,Vertivore,Generalist,8574436.83,40.86,49.85
Buteo rufofuscus,Accipitridae,Accipitriformes,1530.0,413.2,39.8,23.2,13.4,17.9,84.9,190.4,140.6,33.8,Grassland,3,2,Carnivore,Vertivore,Generalist,1533534.66,-28.14,23.03
Buteo socotraensis,Accipitridae,Accipitriformes,759.1,323.0,37.8,20.8,14.1,18.0,84.0,176.7,115.8,35.2,Grassland,3,2,Carnivore,Vertivore,Insessorial,3622.4,12.51,53.87
Buteo solitarius,Accipitridae,Accipitriformes,500.9,270.2,31.8,20.4,13.2,15.9,72.7,160.5,92.3,34.1,Forest,1,1,Carnivore,Vertivore,Insessorial,6957.48,19.6,-155.53
Buteo swainsoni,Accipitridae,Accipitriformes,946.6,383.7,35.3,21.0,13.6,16.6,60.7,193.6,175.2,46.6,Grassland,3,3,Carnivore,Vertivore,Insessorial,4303055.16,40.95,-107.07
Buteo trizonatus,Accipitridae,Accipitriformes,568.0,345.8,34.0,18.0,11.4,15.1,67.6,184.0,131.5,37.9,Forest,1,1,Carnivore,Vertivore,Insessorial,101450.72,-33.55,22.91
Buteo ventralis,Accipitridae,Accipitriformes,1190.5,359.0,37.2,23.2,13.0,19.0,76.8,221.5,118.4,33.0,Forest,1,2,Carnivore,Vertivore,Insessorial,536992.07,-47.95,-71.73
Buteogallus aequinoctialis,Accipitridae,Accipitriformes,657.6,316.2,36.1,23.3,11.2,16.0,73.3,147.2,78.8,24.9,Woodland,2,1,Carnivore,Aquatic predator,Insessorial,132570.12,-3.65,-47.36
Buteogallus anthracinus,Accipitridae,Accipitriformes,975.1,355.2,39.6,25.1,12.9,17.5,78.6,206.2,106.0,30.7,Woodland,2,1,Carnivore,Aquatic predator,Insessorial,1898078.97,18.62,-93.02
Buteogallus coronatus,Accipitridae,Accipitriformes,2950.0,533.0,60.9,39.9,15.8,29.7,119.4,262.2,177.5,33.0,Shrubland,2,2,Carnivore,Vertivore,Insessorial,4233989.28,-22.07,-55.75
Buteogallus gundlachii,Accipitridae,Accipitriformes,975.1,348.1,39.6,24.4,12.3,17.3,85.2,190.0,112.6,32.4,Woodland,2,1,Carnivore,Omnivore,Insessorial,14641.79,21.78,-80.11
Buteogallus lacernulatus,Accipitridae,Accipitriformes,312.0,293.8,34.8,21.5,11.7,15.5,77.2,157.0,87.0,29.6,Forest,1,1,Carnivore,Vertivore,Insessorial,139998.95,-17.46,-41.19
Buteogallus meridionalis,Accipitridae,Accipitriformes,808.0,416.4,36.0,24.2,11.6,18.1,93.4,217.4,130.9,31.1,Grassland,3,1,Carnivore,Vertivore,Insessorial,10432463.33,-12.06,-55.31
Buteogallus schistaceus,Accipitridae,Accipitriformes,1000.0,272.0,35.5,22.6,12.6,18.1,75.7,173.2,70.0,25.5,Forest,1,1,Carnivore,Vertivore,Insessorial,3642728.14,-5.46,-66.17
Buteogallus solitarius,Accipitridae,Accipitriformes,3000.0,526.2,58.6,36.8,18.7,28.0,120.4,245.3,150.6,28.9,Forest,1,1,Carnivore,Vertivore,Insessorial,998204.29,3.86,-82.33
Buteogallus urubitinga,Accipitridae,Accipitriformes,1152.9,399.7,46.0,29.2,14.6,21.9,118.4,255.6,87.3,22.0,Woodland,2,1,Carnivore,Vertivore,Insessorial,13126253.65,-7.52,-61.52
Chelictinia riocourii,Accipitridae,Accipitriformes,110.0,240.2,17.7,11.6,8.6,9.1,28.2,192.0,136.2,55.7,Shrubland,2,1,Carnivore,Invertivore,Aerial,5425285.72,14.35,10.53
Chondrohierax uncinatus,Accipitridae,Accipitriformes,286.1,285.3,36.2,27.0,12.4,18.4,33.6,197.6,59.8,21.0,Forest,2,2,Carnivore,Invertivore,Insessorial,9787616.08,-2.71,-64.2
Chondrohierax wilsonii,Accipitridae,Accipitriformes,286.1,244.0,38.4,30.4,11.8,20.6,23.0,185.0,63.5,26.0,Forest,2,2,Carnivore,Invertivore,Insessorial,3890.11,20.47,-74.96
Circaetus beaudouini,Accipitridae,Accipitriformes,1500.0,501.8,45.6,33.5,15.1,22.7,79.3,259.6,216.8,43.5,Woodland,2,1,Carnivore,Vertivore,Insessorial,3453409.14,11.2,6.2
Circaetus cinerascens,Accipitridae,Accipitriformes,1126.0,379.5,42.2,29.0,13.5,21.7,68.1,220.5,115.2,30.4,Forest,1,1,Carnivore,Vertivore,Insessorial,5762003.0,-0.6,18.67
Circaetus cinereus,Accipitridae,Accipitriformes,2048.0,517.8,54.7,40.6,15.8,28.6,94.3,254.0,222.0,42.9,Shrubland,2,1,Carnivore,Vertivore,Insessorial,11541044.04,-3.63,22.83
Circaetus fasciolatus,Accipitridae,Accipitriformes,1013.6,362.2,39.8,27.7,13.9,23.0,71.7,227.0,101.5,28.0,Woodland,3,1,Carnivore,Vertivore,Insessorial,734455.97,-10.35,37.83
Circaetus gallicus,Accipitridae,Accipitriformes,1699.1,537.0,47.0,35.0,15.5,24.6,90.9,280.4,216.8,40.5,Woodland,3,3,Carnivore,Vertivore,Aerial,12695589.93,40.79,51.26
Circaetus pectoralis,Accipitridae,Accipitriformes,1500.0,527.8,46.7,33.8,14.6,23.1,83.8,259.4,229.0,43.0,Woodland,2,1,Carnivore,Vertivore,Generalist,9328714.6,-10.32,28.83
Circus aeruginosus,Accipitridae,Accipitriformes,704.1,405.7,37.3,20.2,11.9,16.2,79.3,233.9,185.3,45.6,Wetland,3,2,Carnivore,Vertivore,Aerial,13390803.81,50.03,51.14
Circus approximans,Accipitridae,Accipitriformes,746.2,406.9,39.5,21.9,11.9,16.4,89.3,233.2,181.9,44.7,Wetland,3,2,Carnivore,Vertivore,Aerial,2033024.84,-33.9,146.38
Circus assimilis,Accipitridae,Accipitriformes,558.6,421.6,36.1,20.2,11.2,16.2,95.2,271.1,191.6,45.0,Grassland,3,2,Carnivore,Vertivore,Aerial,7817547.59,-25.0,134.02
Circus buffoni,Accipitridae,Accipitriformes,507.4,436.0,41.4,20.9,12.7,16.6,85.3,265.0,210.0,48.2,Grassland,3,2,Carnivore,Vertivore,Aerial,4327364.53,-22.38,-55.29
Circus cinereus,Accipitridae,Accipitriformes,399.7,344.5,29.8,15.7,9.3,12.9,67.5,240.4,154.5,44.3,Grassland,3,2,Carnivore,Vertivore,Aerial,2424495.35,-36.62,-69.21
Circus cyaneus,Accipitridae,Accipitriformes,393.0,352.4,30.1,16.0,9.7,13.0,72.1,131.7,158.9,44.7,Grassland,3,3,Carnivore,Vertivore,Aerial,17331412.86,58.07,84.36
Circus hudsonius,Accipitridae,Accipitriformes,393.0,360.9,31.1,17.2,10.1,13.2,82.0,212.9,161.1,44.6,Grassland,3,3,Carnivore,Vertivore,Aerial,12347245.55,52.86,-111.67
Circus macrosceles,Accipitridae,Accipitriformes,663.6,420.9,37.4,20.8,11.6,16.1,92.2,242.7,201.7,47.8,Grassland,3,1,Carnivore,Vertivore,Aerial,412352.02,-19.14,46.18
Circus macrourus,Accipitridae,Accipitriformes,384.4,351.2,29.5,15.0,9.7,12.7,68.0,226.6,185.0,52.4,Grassland,3,3,Carnivore,Vertivore,Aerial,6168290.72,51.02,62.85
Circus maillardi,Accipitridae,Accipitriformes,663.6,353.2,37.4,19.9,11.1,16.6,83.5,229.0,144.0,40.2,Forest,1,1,Carnivore,Vertivore,Aerial,1488.84,-21.1,55.53
Circus maurus,Accipitridae,Accipitriformes,509.0,352.4,31.7,17.0,10.6,13.5,71.9,249.2,151.2,42.6,Shrubland,2,1,Carnivore,Vertivore,Aerial,597211.38,-30.91,22.27
Circus melanoleucos,Accipitridae,Accipitriformes,336.3,352.6,29.9,15.5,9.4,13.1,72.5,214.0,179.8,50.5,Grassland,3,3,Carnivore,Vertivore,Aerial,1811211.65,49.1,122.04
Circus pygargus,Accipitridae,Accipitriformes,310.8,362.3,26.1,13.5,8.6,11.2,62.0,224.8,188.0,52.0,Grassland,3,3,Carnivore,Vertivore,Aerial,6837154.32,49.91,45.8
Circus ranivorus,Accipitridae,Accipitriformes,507.0,363.2,35.4,18.9,11.1,14.1,84.5,226.8,163.2,44.0,Wetland,3,1,Carnivore,Vertivore,Aerial,4426338.22,-14.6,29.56
Circus spilonotus,Accipitridae,Accipitriformes,558.8,407.2,38.3,20.0,12.1,15.9,86.3,241.2,194.2,47.7,Wetland,3,3,Carnivore,Vertivore,Aerial,5723030.46,52.88,121.45
