param,mean,median,0.950_CI_LB,0.950_CI_UB
hi_param_134,0.211501,0.213904,0.118147,0.298923
hi_param_135,0.244973,0.245077,0.165085,0.325440
hi_param_136,0.164537,0.163776,0.085962,0.247745
hi_param_137,0.153341,0.152700,0.070993,0.239141
hi_param_138,0.112608,0.110557,0.038226,0.199403
hi_param_139,0.141499,0.139501,0.067917,0.226192
hi_param_140,0.146744,0.145524,0.075397,0.224480
hi_param_141,0.306209,0.305481,0.228619,0.387711
hi_param_142,0.144909,0.143679,0.068166,0.228109
hi_param_143,0.426090,0.425071,0.353560,0.501194
hi_param_144,0.174348,0.174296,0.090841,0.258366
hi_param_145,0.170344,0.170470,0.086791,0.255562
hi_param_146,0.131977,0.130962,0.045665,0.221539
hi_param_147,0.133422,0.131702,0.055546,0.218458
hi_param_148,0.134520,0.133766,0.053576,0.220793
hi_param_149,0.273802,0.272721,0.216139,0.337588
hi_param_150,0.113683,0.111839,0.035521,0.202577
hi_param_151,0.083835,0.081038,0.018337,0.165740
hi_param_152,0.124708,0.122984,0.053227,0.205037
hi_param_153,0.166597,0.165861,0.085934,0.249536
hi_param_154,0.223079,0.222262,0.148154,0.303013
hi_param_155,0.160707,0.160020,0.078064,0.249693
hi_param_156,0.132517,0.131053,0.055759,0.218918
hi_param_157,0.175008,0.174300,0.097698,0.256244
hi_param_158,0.208942,0.209465,0.128549,0.287030
hi_param_159,0.147924,0.146424,0.067591,0.233563
hi_param_160,0.208308,0.208024,0.124869,0.295217
hi_param_161,0.156393,0.155686,0.079869,0.237668
hi_param_162,0.251499,0.251415,0.172980,0.333598
